Symbol,Date,Open,High,Low,Close,Adj Close,Volume
,,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
AAPL,2025-01-17,232.1199951171875,232.2899932861328,228.47999572753906,229.97999572753906,228.9445343017578,68488300
AAPL,2025-01-21,224.0,224.4199981689453,219.3800048828125,222.63999938964844,221.6375732421875,98070400
AAPL,2025-01-22,219.7899932861328,224.1199951171875,219.7899932861328,223.8300018310547,222.82223510742188,64126500
AAPL,2025-01-23,224.74000549316406,227.02999877929688,222.3000030517578,223.66000366210938,222.6529998779297,60234800
AAPL,2025-01-24,224.77999877929688,225.6300048828125,221.41000366210938,222.77999877929688,221.77694702148438,54697900
AAPL,2025-01-27,224.02000427246094,232.14999389648438,223.97999572753906,229.86000061035156,228.82508850097656,94863400
AAPL,2025-01-28,230.85000610351562,240.19000244140625,230.80999755859375,238.25999450683594,237.187255859375,75707600
AAPL,2025-01-29,234.1199951171875,239.86000061035156,234.00999450683594,239.36000061035156,238.2823028564453,45486100
AAPL,2025-01-30,238.6699981689453,240.7899932861328,237.2100067138672,237.58999633789062,236.520263671875,55658300
AAPL,2025-01-31,247.19000244140625,247.19000244140625,233.44000244140625,236.0,234.93743896484375,100959800
AAPL,2025-02-03,229.99000549316406,231.8300018310547,225.6999969482422,228.00999450683594,226.9833984375,73063300
AAPL,2025-02-04,227.25,233.1300048828125,226.64999389648438,232.8000030517578,231.75184631347656,45067300
AAPL,2025-02-05,228.52999877929688,232.6699981689453,228.27000427246094,232.47000122070312,231.42332458496094,39620300
AAPL,2025-02-06,231.2899932861328,233.8000030517578,230.42999267578125,233.22000122070312,232.16995239257812,29925300
AAPL,2025-02-07,232.60000610351562,234.0,227.25999450683594,227.6300048828125,226.60513305664062,39707200
AAPL,2025-02-10,229.57000732421875,230.58999633789062,227.1999969482422,227.64999389648438,226.8741912841797,33115600
AAPL,2025-02-11,228.1999969482422,235.22999572753906,228.1300048828125,232.6199951171875,231.8272705078125,53718400
AAPL,2025-02-12,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,236.06277465820312,45243300
AAPL,2025-02-13,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,240.70689392089844,53614100
AAPL,2025-02-14,241.25,245.5500030517578,240.99000549316406,244.60000610351562,243.76644897460938,40896200
AAPL,2025-02-18,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,243.6368865966797,48822500
AAPL,2025-02-19,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,244.03550720214844,32204200
AAPL,2025-02-20,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,244.99224853515625,32316900
AAPL,2025-02-21,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,244.71319580078125,53197400
AAPL,2025-02-24,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,246.25791931152344,51326400
AAPL,2025-02-25,248.0,250.0,244.91000366210938,247.0399932861328,246.1981201171875,48013300
AAPL,2025-02-26,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,239.5408935546875,44433600
AAPL,2025-02-27,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,236.49131774902344,41153600
AAPL,2025-02-28,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,241.01583862304688,56833400
AAPL,2025-03-03,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,237.2188262939453,47184000
AAPL,2025-03-04,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,235.1259765625,53798100
AAPL,2025-03-05,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,234.93663024902344,47227600
AAPL,2025-03-06,234.44000244140625,237.86000061035156,233.16000366210938,235.3300018310547,234.52804565429688,45170400
AAPL,2025-03-07,235.11000061035156,241.3699951171875,234.75999450683594,239.07000732421875,238.2552947998047,46273600
AAPL,2025-03-10,235.5399932861328,236.16000366210938,224.22000122070312,227.47999572753906,226.70477294921875,72071200
AAPL,2025-03-11,223.80999755859375,225.83999633789062,217.4499969482422,220.83999633789062,220.08740234375,76137400
AAPL,2025-03-12,220.13999938964844,221.75,214.91000366210938,216.97999572753906,216.2405548095703,62547500
AAPL,2025-03-13,215.9499969482422,216.83999633789062,208.4199981689453,209.67999267578125,208.96542358398438,61368300
AAPL,2025-03-14,211.25,213.9499969482422,209.5800018310547,213.49000549316406,212.762451171875,60107600
AAPL,2025-03-17,213.30999755859375,215.22000122070312,209.97000122070312,214.0,213.2707061767578,48073400
AAPL,2025-03-18,214.16000366210938,215.14999389648438,211.49000549316406,212.69000244140625,211.96519470214844,42432400
AAPL,2025-03-19,214.22000122070312,218.75999450683594,213.75,215.24000549316406,214.50648498535156,54385400
AAPL,2025-03-20,213.99000549316406,217.49000549316406,212.22000122070312,214.10000610351562,213.37039184570312,48862900
